geocodigo,actual,pred,abs_error,municipio_ibge
2313302,223.0,64.83307108723517,160.57284366014267,Tauá
2304103,259.0,213.5565906027776,113.36988628645378,Crateús
2311405,115.0,187.15484192760465,89.01519809989935,Quixeramobim
2306405,94.0,151.25606135488755,66.48921827225752,Itapipoca
2312908,85.0,131.94542982988096,62.75611499872179,Sobral
2311306,47.0,90.41174366462093,53.456730076746645,Quixadá
2300200,39.0,79.45850020945326,51.315316116334714,Acaraú
2312106,78.0,57.86582826616723,48.68590905745653,Santana do Cariri
2301307,86.0,64.48622296575965,38.663018604084975,Araripe
2304202,73.0,46.47214275198303,30.836718640316924,Crato
2313401,44.0,46.408829205999396,29.28813831894371,Tianguá
2302701,36.0,14.669473328119746,27.089306593521556,Campos Sales
2311207,28.0,11.713006006971199,25.303550994180092,Potengi
2301604,41.0,27.55515631722249,23.364858855901083,Assaré
2305506,22.0,40.71061006747287,22.71061006747287,Iguatu
