method,stratify_volume,alpha,nominal,validation_coverage,validation_worst_uf_coverage,validation_mean_width,passes_guardrail
season_only,False,0.05,0.95,0.9436728395061729,0.8888888888888888,4.66145430470112,False
season_only,False,0.04,0.96,0.9598765432098766,0.9166666666666666,5.154323816228894,True
season_only,False,0.03,0.97,0.9660493827160493,0.9201388888888888,5.676758884350452,True
season_only,False,0.02,0.98,0.9722222222222222,0.9340277777777778,6.807481583085412,True
mondrian_season_x_volume,True,0.05,0.95,0.9228395061728395,0.9151234567901234,4.350313695476817,True
mondrian_season_x_volume,True,0.04,0.96,0.9375,0.9320987654320988,4.672732522996353,True
mondrian_season_x_volume,True,0.03,0.97,0.9537037037037037,0.9479166666666666,5.119172154519588,True
mondrian_season_x_volume,True,0.02,0.98,0.9753086419753086,0.9652777777777778,5.761219163932567,True
