block,climatology_municipal_wape,climatology_municipal_mae,climatology_municipal_bias,climatology_apa_intensity12_wape,climatology_apa_intensity12_mae,climatology_apa_intensity12_bias,n_rows
all,0.7849593095159628,1.2059664206614458,0.02550148564392195,0.7074196076217295,1.0868388740244026,-0.11038279643003088,4320
critical_out_nov,0.6710043382733948,3.7771952541973186,0.23181622609512198,0.5760808598967986,3.2428551738357285,-0.316603606829872,720
dry_ago_dez,0.7496141262043787,2.585752283112771,0.10299671327554456,0.6716241445645558,2.3167301742229593,-0.20025395058786508,1800
uf_CE,0.810002814396733,1.1002538228888958,-0.06878990987409245,0.7456963831199853,1.01290425373798,-0.1739481196287948,2160
uf_PE,0.705261973736931,2.006323385703707,0.11884796902622945,0.622626307377862,1.7712421306759802,-0.14505371733868178,960
uf_PI,0.9332883019978107,0.7559635246182267,0.12054881087050201,0.8301217101465439,0.6723985852187006,0.031771522054664846,1200
