cut,ano,mes,observed_trailing_12m,expected_trailing_12m,raw_ratio,applied_ratio,n_eligible_municipios,n_test_rows
2015-01,2015,1,365.0,732.8181818181819,0.5583451588254557,0.5583451588254557,36,36
2015-02,2015,2,386.0,733.1212121212122,0.583348488706216,0.583348488706216,36,36
2015-03,2015,3,388.0,733.1515151515152,0.5857277951553066,0.5857277951553066,36,36
2015-04,2015,4,392.0,733.3939393939395,0.5903570649407315,0.5903570649407315,36,36
2015-05,2015,5,391.0,733.3484848484849,0.5891892874675005,0.5891892874675005,36,36
2015-06,2015,6,391.0,733.2727272727273,0.5892428540257474,0.5892428540257474,36,36
2015-07,2015,7,389.0,733.1893939393939,0.5869013738736691,0.5869013738736691,36,36
2015-08,2015,8,387.0,733.0454545454545,0.5846019534020844,0.5846019534020844,36,36
2015-09,2015,9,390.0,733.1515151515151,0.5881283189059431,0.5881283189059431,36,36
2015-10,2015,10,416.0,733.4924242424242,0.6190818116541388,0.6190818116541388,36,36
2015-11,2015,11,405.0,727.0075757575758,0.6106352768744561,0.6106352768744561,36,36
2015-12,2015,12,448.0,716.1666666666667,0.6714314886665305,0.6714314886665305,36,36
2016-01,2016,1,459.0,710.0,0.6901234567901234,0.6901234567901234,36,36
2016-02,2016,2,443.0,709.025641025641,0.671177738336714,0.671177738336714,36,36
2016-03,2016,3,445.0,709.2051282051282,0.6735004277702082,0.6735004277702082,36,36
2016-04,2016,4,441.0,709.1025641025642,0.6686420535572809,0.6686420535572809,36,36
2016-05,2016,5,443.0,709.2179487179487,0.6710182353966317,0.6710182353966317,36,36
2016-06,2016,6,444.0,709.2307692307692,0.6722433460076046,0.6722433460076046,36,36
2016-07,2016,7,447.0,709.3910256410256,0.6758167346453887,0.6758167346453887,36,36
2016-08,2016,8,458.0,710.1153846153846,0.6887907705455063,0.6887907705455063,36,36
2016-09,2016,9,465.0,710.7435897435898,0.6968911097757676,0.6968911097757676,36,36
2016-10,2016,10,473.0,711.6474358974359,0.7059715520032855,0.7059715520032855,36,36
2016-11,2016,11,561.0,712.9294871794871,0.8131086526254367,0.8131086526254367,36,36
2016-12,2016,12,532.0,701.525641025641,0.7884962971256738,0.7884962971256738,36,36
2017-01,2017,1,503.0,694.0769230769231,0.7593722755013077,0.7593722755013077,36,36
2017-02,2017,2,502.0,693.1703296703297,0.7589794744972533,0.7589794744972533,36,36
2017-03,2017,3,497.0,692.967032967033,0.7528686252771618,0.7528686252771618,36,36
2017-04,2017,4,497.0,692.8791208791209,0.752952101119858,0.752952101119858,36,36
2017-05,2017,5,497.0,692.978021978022,0.7528581920982248,0.7528581920982248,36,36
2017-06,2017,6,496.0,692.9175824175824,0.7516544130385071,0.7516544130385071,36,36
2017-07,2017,7,495.0,692.9835164835165,0.7503308550958614,0.7503308550958614,36,36
2017-08,2017,8,483.0,692.7472527472528,0.7354172442472969,0.7354172442472969,36,36
2017-09,2017,9,502.0,694.6428571428572,0.7575730337078651,0.7575730337078651,36,36
2017-10,2017,10,468.0,692.989010989011,0.7162772650425431,0.7162772650425431,36,36
2017-11,2017,11,512.0,697.2307692307693,0.7676572751833268,0.7676572751833268,36,36
2017-12,2017,12,518.0,687.8846153846155,0.7843788137661702,0.7843788137661702,36,36
