band,n,actual_sum,pred_sum,mean_bias,abs_err_sum,wape_share_of_total_error,pred_vs_actual_ratio
0,394,0.0,111.3140866873065,-0.2825230626581383,111.3140866873065,0.07433853537922737,
1-3,131,202.0,173.83348813209494,0.21501154097637448,151.87077251953414,0.10142337894509625,0.8605618224361136
4-10,94,582.0,395.1751879699248,1.9874980003199487,306.03007518796994,0.2043750997605117,0.6789951683332042
11-30,49,907.0,569.1085213032582,6.895744463198813,482.84235588972433,0.3224550874385501,0.6274625372693033
30+,19,1031.0,627.5052631578948,21.236565096952905,445.33684210526314,0.2974078984766143,0.6086375006381133
