ano,coverage,interval_width,n
2020,0.9704301075268817,8.173262691657541,372
2021,0.9509536784741145,7.56213178811444,367
2022,0.9530386740331491,7.493666066238344,362
2023,0.9346049046321526,8.18477058230947,367
2024,0.896875,8.133170531967055,320
