alpha,nominal_coverage,selection_pass,validation_coverage_overall,validation_coverage_dry,validation_coverage_wet,validation_width_overall,validation_width_dry,validation_width_wet
0.05,0.95,False,0.9392265193370166,0.9448275862068966,0.9354838709677419,6.738948754993177,14.067001214925853,1.8423238393699621
0.04,0.96,True,0.9530386740331491,0.9517241379310345,0.9539170506912442,7.493666066238344,15.61678877766162,2.0657730102181833
0.03,0.97,True,0.9640883977900553,0.9724137931034482,0.9585253456221198,8.764450425674957,18.49041233244148,2.265535787512992
0.02,0.98,False,0.9806629834254144,0.9862068965517241,0.9769585253456221,10.661556729296967,21.85398887466552,3.1827426229447098
