model,all_wape,all_mae,all_n,all_y_total,outnov_wape,outnov_mae,outnov_n,outnov_y_total
climatology_municipal,0.5501080574540037,2.179613002022996,687,2722,0.5104083517549509,7.0868236532129725,104,1444
xgboost_poisson_municipal,0.567809017303422,2.249746936098857,687,2722,0.5316283059383867,7.381454555529138,104,1444
xgboost_poisson_flat,0.5718338988489363,2.2656941377973867,687,2722,0.5382094369195635,7.472831027998554,104,1444
historical_mean_3y,0.5927014450159196,2.348374575448811,687,2722,0.5168513388734995,7.176282051282052,104,1444
random_forest_100,0.6248492933438318,2.4757493107451385,687,2722,0.6014433916050871,8.350810168055247,104,1444
naive_lag12,0.6249081557678178,2.475982532751092,687,2722,0.5955678670360111,8.26923076923077,104,1444
tweedie_p1.5,0.6734294313914565,2.668231313315203,687,2722,0.6103358028676614,8.474277878277915,104,1444
glm_poisson,0.6831710726859818,2.706829199201226,687,2722,0.624382969986057,8.669317390960252,104,1444
climatology_state,0.8763095665340689,3.472073711944302,687,2722,0.8369721505656675,11.62103639823869,104,1444
