cut,ano,mes,model,n,wape,mae,rmse,y_sum,pred_sum
2023-01,2023,1,naive_lag12,31,1.0,0.5483870967741935,1.031753909143192,17.0,8.0
2023-01,2023,1,climatology_municipal,31,1.8328173374613002,1.0050933786078098,1.601592005758204,17.0,44.89473684210527
2023-01,2023,1,climatology_state,31,2.371117547188655,1.3002902678131334,1.4002067423869649,17.0,44.89473684210529
2023-01,2023,1,historical_mean_3y,31,0.8529411764705882,0.46774193548387094,0.8303710791159926,17.0,26.0
2023-01,2023,1,xgboost_poisson_flat,31,1.6171421539278328,0.8868198908636502,1.2864405520497066,17.0,38.85386839217896
2023-01,2023,1,xgboost_poisson_municipal,31,1.535427494870458,0.8420086262192834,1.4238085513934122,17.0,38.855862574336854
2023-01,2023,1,glm_poisson,31,1.5038865552002383,0.8247119818840016,0.9762385338094904,17.0,27.226688708544106
2023-01,2023,1,tweedie_p1.5,31,1.3114368785710266,0.7191750624421759,0.8881371820418168,17.0,21.685304658498183
2023-01,2023,1,random_forest_100,31,1.2524222452084732,0.6868121989852918,1.0448204313949578,17.0,30.57745166451633
2023-02,2023,2,naive_lag12,31,1.1111111111111112,0.3225806451612903,0.672021505032247,9.0,1.0
2023-02,2023,2,climatology_municipal,31,1.3976608187134503,0.4057724957555178,0.6132746524217445,9.0,6.315789473684211
2023-02,2023,2,climatology_state,31,1.3848330503678548,0.4020483049455062,0.5852905449500206,9.0,6.3157894736842115
2023-02,2023,2,historical_mean_3y,31,1.4444444444444444,0.41935483870967744,0.7307873693568256,9.0,7.333333333333332
2023-02,2023,2,xgboost_poisson_flat,31,1.3398121547499393,0.3889777223467566,0.6187130268772212,9.0,4.657820609049983
2023-02,2023,2,xgboost_poisson_municipal,31,1.3322143726246884,0.38677191463297406,0.6288413990929094,9.0,4.3817626238933265
2023-02,2023,2,glm_poisson,31,1.8054752058997825,0.5241702210676787,0.6080628441666416,9.0,12.736464929573064
2023-02,2023,2,tweedie_p1.5,31,1.5428753719344739,0.44793155959387954,0.5872564683766918,9.0,8.615472858614957
2023-02,2023,2,random_forest_100,31,1.1692667332230735,0.33946453545186006,0.6151926767214456,9.0,2.8807455544060905
2023-03,2023,3,naive_lag12,31,1.4,0.22580645161290322,0.5388159060803247,5.0,2.0
2023-03,2023,3,climatology_municipal,31,1.2947368421052632,0.20882852292020374,0.39533062301353605,5.0,2.3157894736842106
2023-03,2023,3,climatology_state,31,1.313752122241087,0.2118955035872721,0.3778533294191777,5.0,2.3157894736842097
