band,n,actual_sum,pred_sum,mean_bias,abs_err_sum,wape_share_of_total_error,pred_vs_actual_ratio
0,394,0.0,68.10000000000001,-0.17284263959390866,68.10000000000001,0.046921831398353264,
1-3,131,202.0,171.65,0.23167938931297705,173.65,0.11964722499741622,0.8497524752475247
4-10,94,582.0,437.1,1.5414893617021275,313.3,0.21586798497950185,0.7510309278350515
11-30,49,907.0,612.3000000000001,6.014285714285714,464.8,0.32025355703310715,0.6750826901874312
30+,19,1031.0,708.0,16.999999999999996,431.49999999999994,0.29730940159162156,0.6867119301648884
