model,ano,wape,y_total,pred_total
climatology_municipal,2015,1.1620558901316,634.0,1161.579797979798
climatology_municipal,2016,0.9825666776816201,783.0,1118.0851398601396
climatology_municipal,2017,0.8273547839610016,772.0,1095.6501276501278
climatology_municipal,2018,1.4684078627642987,505.0,1072.4302197802199
climatology_municipal,2019,0.7984258814638969,776.0,1038.5383991008991
climatology_municipal,2020,0.7767054252256459,720.0,1022.4208333333335
climatology_municipal,2021,0.7938482916146623,742.0,1003.801395173454
climatology_municipal,2022,0.6705015030916701,839.0,985.37317251462
climatology_municipal,2023,0.5493462379900064,1337.0,978.5031303749569
climatology_municipal,2024,0.5508434745105845,1385.0,898.4334168755222
climatology_regional_intensity12,2015,0.6498467731602261,634.0,606.553930615691
climatology_regional_intensity12,2016,0.8291387606022655,783.0,781.2246941531389
climatology_regional_intensity12,2017,0.6524047610689179,772.0,735.2848216982817
climatology_regional_intensity12,2018,0.9395597484472198,505.0,745.7822079814188
climatology_regional_intensity12,2019,0.6274117258921269,776.0,646.6818155054741
climatology_regional_intensity12,2020,0.5934874156276547,720.0,774.7388560718522
climatology_regional_intensity12,2021,0.6998765030785223,742.0,785.7304790702523
climatology_regional_intensity12,2022,0.5846755416600856,839.0,761.0139012491007
climatology_regional_intensity12,2023,0.5609087961675202,1337.0,1061.37620913286
climatology_regional_intensity12,2024,0.5397406436702689,1385.0,1182.8395023727635
