cut,ano,mes,wape_baseline,wape_candidate,y_total,candidate_wins
2015-01,2015,1,0.8290909090909091,0.7309090909090908,50.0,True
2015-02,2015,2,1.3636363636363635,1.1818181818181819,7.0,True
2015-03,2015,3,1.4727272727272727,1.2363636363636366,5.0,True
2015-04,2015,4,,,0.0,False
2015-05,2015,5,2.090909090909091,1.5454545454545454,1.0,True
2015-06,2015,6,,,0.0,False
2015-07,2015,7,2.0441919191919187,1.5220959595959596,6.0,True
2015-08,2015,8,0.7912131519274377,0.8956065759637187,42.0,False
2015-09,2015,9,1.2508974765072325,0.8976216872558335,41.0,True
2015-10,2015,10,0.9662557249513773,0.6663733609385784,138.0,True
2015-11,2015,11,1.2545136464491302,0.4434431943652291,186.0,True
2015-12,2015,12,1.3228163187023947,0.6301127192534203,158.0,True
2016-01,2016,1,2.6140350877192984,1.6788544830809544,19.0,True
2016-02,2016,2,2.6944444444444446,1.9802865383580308,3.0,True
2016-03,2016,3,,,0.0,False
2016-04,2016,4,1.0999999999999999,1.0571370422245114,5.0,True
2016-05,2016,5,2.25,1.719161292900297,1.0,True
2016-06,2016,6,1.7500000000000002,1.4315036057322768,2.0,True
2016-07,2016,7,1.5221445221445222,1.301285096327661,11.0,True
2016-08,2016,8,0.8435499685499683,0.909094188407367,63.0,False
2016-09,2016,9,0.6512654012654013,0.69554278449411,84.0,False
2016-10,2016,10,0.46945225997960377,0.5727504732695988,256.0,False
2016-11,2016,11,1.0269338394338396,0.7872164275497937,222.0,True
2016-12,2016,12,1.9203454664993123,1.2686468000167024,117.0,True
2017-01,2017,1,2.1943319838056676,1.6482734045924854,19.0,True
2017-02,2017,2,1.3736263736263736,1.2766635313749801,7.0,True
2017-03,2017,3,2.153846153846154,1.8582397224110678,1.0,True
2017-04,2017,4,1.3461538461538463,1.2577872535572017,2.0,True
2017-05,2017,5,2.076923076923077,1.7992567190528828,1.0,True
2017-06,2017,6,2.076923076923077,1.799267730155055,2.0,True
2017-07,2017,7,1.6913919413919418,1.513158885370134,6.0,True
2017-08,2017,8,1.2445503842562666,1.102210781446634,34.0,True
2017-09,2017,9,0.8013785901109847,0.8265928750543441,71.0,False
2017-10,2017,10,0.6527151009909631,0.5786325174490915,203.0,True
2017-11,2017,11,1.1803097148401016,0.5830197465502064,181.0,True
2017-12,2017,12,0.49320452789840546,0.5118360838833327,245.0,False
2018-01,2018,1,1.44,0.9905045545014743,25.0,True
2018-02,2018,2,7.642857142857142,5.982216906337785,1.0,True
2018-03,2018,3,1.4285714285714284,1.3193393858951865,4.0,True
2018-04,2018,4,,,0.0,False
2018-05,2018,5,,,0.0,False
2018-06,2018,6,1.6428571428571432,1.4790324693526555,4.0,True
2018-07,2018,7,1.6523809523809525,1.4872085356660336,7.0,True
2018-08,2018,8,1.0448770277341706,0.9470707770145056,35.0,True
2018-09,2018,9,0.6395271395271395,0.6795283637280717,77.0,False
2018-10,2018,10,1.1072215795900004,0.7256473931275031,114.0,True
2018-11,2018,11,1.8352366863905325,0.9797451104792746,130.0,True
2018-12,2018,12,2.04765466015466,1.1561131726910394,108.0,True
2019-01,2019,1,1.2144144144144142,0.8805458199428565,37.0,True
2019-02,2019,2,2.4666666666666672,1.797963149593113,4.0,True
2019-03,2019,3,3.1333333333333337,2.1664441500828278,1.0,True
2019-04,2019,4,,,0.0,False
2019-05,2019,5,1.288888888888889,1.157217166793111,3.0,True
2019-06,2019,6,1.1523809523809525,1.0833211014730284,7.0,True
2019-07,2019,7,2.9319444444444454,2.061227213594161,3.0,True
2019-08,2019,8,1.1229515854515855,0.9816708387299085,36.0,True
2019-09,2019,9,0.65759683692376,0.7789445259947733,78.0,False
2019-10,2019,10,0.5928319617676054,0.5319259695729743,202.0,True
2019-11,2019,11,0.6538221393990625,0.46122536899219585,234.0,True
2019-12,2019,12,1.0260277003698055,0.6764715647208589,171.0,True
2020-01,2020,1,2.3308823529411766,1.8578940346244779,17.0,True
2020-02,2020,2,3.0,2.527846891584807,2.0,True
2020-03,2020,3,,,0.0,False
2020-04,2020,4,,,0.0,False
2020-05,2020,5,1.4166666666666667,1.3173129082523456,3.0,True
2020-06,2020,6,1.4625,1.3521849606059222,5.0,True
2020-07,2020,7,0.9080882352941176,0.9301821422930053,19.0,False
2020-08,2020,8,0.8347700017507003,0.7866582090758283,32.0,True
2020-09,2020,9,0.5737522281639929,0.5719947349693137,88.0,True
2020-10,2020,10,0.557972313219073,0.4632917951781758,177.0,True
2020-11,2020,11,0.7695354122040974,0.5171180405299852,204.0,True
2020-12,2020,12,0.8574426013179839,0.5584628512370025,173.0,True
2021-01,2021,1,0.8641456582633052,0.7960081748101023,42.0,True
2021-02,2021,2,1.0123839009287925,1.0094755841794476,19.0,True
2021-03,2021,3,2.823529411764705,2.422411844337442,1.0,True
2021-04,2021,4,,,0.0,False
2021-05,2021,5,1.1372549019607843,1.1071998239476573,9.0,True
2021-06,2021,6,1.0756302521008403,1.0594571092191858,14.0,True
2021-07,2021,7,1.239453357100416,1.1900937015300264,11.0,True
2021-08,2021,8,1.2040168845315904,1.1071078271331742,24.0,True
2021-09,2021,9,0.6189040513966054,0.6264618797479417,79.0,False
2021-10,2021,10,0.6056018568996953,0.6076284289718686,166.0,False
2021-11,2021,11,0.4626086162573399,0.3971329026284776,265.0,True
2021-12,2021,12,1.6960805075235221,1.2815055305881236,112.0,True
2022-01,2022,1,5.284722222222221,4.084675686330427,8.0,True
2022-02,2022,2,6.388888888888889,5.004532563429501,1.0,True
2022-03,2022,3,1.8888888888888888,1.6460018782095747,2.0,True
2022-04,2022,4,,,0.0,False
2022-05,2022,5,1.833333333333333,1.606427632558951,2.0,True
2022-06,2022,6,1.1444444444444444,1.1041827884785775,10.0,True
2022-07,2022,7,1.5008354218880535,1.3592840078480286,14.0,True
2022-08,2022,8,0.8751757610939113,0.8941295861784327,40.0,False
2022-09,2022,9,0.5854077979876162,0.5856927977588435,80.0,False
