name,alpha,window,fold,coverage,worst_uf,mean_width
expanding_mondrian,0.05,,2021,0.9027777777777778,0.8333333333333334,4.35651153455426
expanding_mondrian,0.05,,2022,0.9305555555555556,0.9212962962962963,4.5342182187143
expanding_mondrian,0.05,,2023,0.8657407407407407,0.8333333333333334,5.030224717043477
expanding_mondrian,0.05,,2024,0.8865740740740741,0.8645833333333334,5.607793779943087
rolling_mondrian_24,0.05,24.0,2021,0.9236111111111112,0.8541666666666666,4.163923556574553
rolling_mondrian_24,0.05,24.0,2022,0.9537037037037037,0.9490740740740741,4.977808386724865
rolling_mondrian_24,0.05,24.0,2023,0.9143518518518519,0.8854166666666666,6.050639224024245
rolling_mondrian_24,0.05,24.0,2024,0.9166666666666666,0.9166666666666666,7.1997973247622005
rolling_mondrian_36,0.05,36.0,2021,0.9143518518518519,0.84375,3.9763512962322682
rolling_mondrian_36,0.05,36.0,2022,0.9444444444444444,0.9270833333333334,4.675909027171213
rolling_mondrian_36,0.05,36.0,2023,0.9097222222222222,0.875,5.725994633342145
rolling_mondrian_36,0.05,36.0,2024,0.9189814814814815,0.9083333333333333,6.73743609780404
rolling_mondrian_48,0.05,48.0,2021,0.9097222222222222,0.8541666666666666,4.094013282657742
rolling_mondrian_48,0.05,48.0,2022,0.9444444444444444,0.9166666666666666,4.471459769679421
rolling_mondrian_48,0.05,48.0,2023,0.8912037037037037,0.8541666666666666,5.482732337526977
rolling_mondrian_48,0.05,48.0,2024,0.9143518518518519,0.9083333333333333,6.51360820961929
normalized_expanding,0.05,,2021,0.9166666666666666,0.90625,4.45820627868444
normalized_expanding,0.05,,2022,0.9282407407407407,0.9027777777777778,4.656193127736161
normalized_expanding,0.05,,2023,0.875,0.8657407407407407,5.384763733155755
normalized_expanding,0.05,,2024,0.8935185185185185,0.8842592592592593,6.54143514048073
normalized_rolling_36,0.05,36.0,2021,0.9305555555555556,0.9166666666666666,4.4941835632990905
normalized_rolling_36,0.05,36.0,2022,0.9421296296296297,0.9305555555555556,4.869658871353918
normalized_rolling_36,0.05,36.0,2023,0.9004629629629629,0.8958333333333334,6.202725950832153
normalized_rolling_36,0.05,36.0,2024,0.9166666666666666,0.9166666666666666,8.512830053114051
adaptive_aci_expanding,0.05,,2021,0.9027777777777778,0.8333333333333334,4.4334714439233025
adaptive_aci_expanding,0.05,,2022,0.9305555555555556,0.9212962962962963,4.56913548136856
adaptive_aci_expanding,0.05,,2023,0.8726851851851852,0.84375,5.24959391699119
adaptive_aci_expanding,0.05,,2024,0.8935185185185185,0.875,5.83291964672301
expanding_mondrian,0.04,,2021,0.9212962962962963,0.875,4.687148503490729
expanding_mondrian,0.04,,2022,0.9467592592592593,0.9416666666666667,4.838372791904608
expanding_mondrian,0.04,,2023,0.8842592592592593,0.8645833333333334,5.424436772336155
expanding_mondrian,0.04,,2024,0.8981481481481481,0.875,6.016282574742786
rolling_mondrian_24,0.04,24.0,2021,0.9351851851851852,0.8854166666666666,4.57941709089024
rolling_mondrian_24,0.04,24.0,2022,0.9629629629629629,0.9583333333333334,5.539130051221445
rolling_mondrian_24,0.04,24.0,2023,0.9351851851851852,0.8958333333333334,6.85510612340111
rolling_mondrian_24,0.04,24.0,2024,0.9282407407407407,0.9166666666666666,8.003892569767535
rolling_mondrian_36,0.04,36.0,2021,0.9236111111111112,0.875,4.3366825012770125
rolling_mondrian_36,0.04,36.0,2022,0.9606481481481481,0.9479166666666666,5.018011392061937
rolling_mondrian_36,0.04,36.0,2023,0.9189814814814815,0.875,6.097435826824658
rolling_mondrian_36,0.04,36.0,2024,0.9282407407407407,0.9166666666666666,7.312618376043175
rolling_mondrian_48,0.04,48.0,2021,0.9212962962962963,0.8541666666666666,4.62505745813171
rolling_mondrian_48,0.04,48.0,2022,0.9629629629629629,0.9583333333333334,4.9684592720137175
rolling_mondrian_48,0.04,48.0,2023,0.9189814814814815,0.8958333333333334,5.925064497433238
rolling_mondrian_48,0.04,48.0,2024,0.9212962962962963,0.9083333333333333,6.868059528019274
normalized_expanding,0.04,,2021,0.9305555555555556,0.9166666666666666,4.793655051607335
normalized_expanding,0.04,,2022,0.9467592592592593,0.9305555555555556,5.030725369478971
normalized_expanding,0.04,,2023,0.8912037037037037,0.8842592592592593,5.9055651830824125
normalized_expanding,0.04,,2024,0.9027777777777778,0.8935185185185185,7.149153740948389
normalized_rolling_36,0.04,36.0,2021,0.9375,0.9166666666666666,4.720268528041185
normalized_rolling_36,0.04,36.0,2022,0.9606481481481481,0.9490740740740741,5.310013508187858
normalized_rolling_36,0.04,36.0,2023,0.9120370370370371,0.8981481481481481,6.750957924910859
normalized_rolling_36,0.04,36.0,2024,0.9282407407407407,0.9259259259259259,9.437144566647456
adaptive_aci_expanding,0.04,,2021,0.9259259259259259,0.875,4.825096457097595
adaptive_aci_expanding,0.04,,2022,0.9467592592592593,0.9416666666666667,4.8765700441418325
adaptive_aci_expanding,0.04,,2023,0.8912037037037037,0.875,5.633097382109255
adaptive_aci_expanding,0.04,,2024,0.9004629629629629,0.875,6.229735810293827
expanding_mondrian,0.03,,2021,0.9398148148148148,0.8958333333333334,5.190620072106259
expanding_mondrian,0.03,,2022,0.9583333333333334,0.95,5.265780242067213
expanding_mondrian,0.03,,2023,0.9236111111111112,0.875,5.89350853589237
expanding_mondrian,0.03,,2024,0.9074074074074074,0.8854166666666666,6.543827041160934
rolling_mondrian_24,0.03,24.0,2021,0.9444444444444444,0.8958333333333334,5.211767043697215
rolling_mondrian_24,0.03,24.0,2022,0.9768518518518519,0.975,6.113792561347766
rolling_mondrian_24,0.03,24.0,2023,0.9467592592592593,0.90625,7.397892345229658
rolling_mondrian_24,0.03,24.0,2024,0.9398148148148148,0.925,8.788368870935354
rolling_mondrian_36,0.03,36.0,2021,0.9398148148148148,0.8854166666666666,4.76662114321291
rolling_mondrian_36,0.03,36.0,2022,0.9675925925925926,0.9629629629629629,5.828512869413324
