scope,level,g3_limit,poisson_floor_mean,poisson_floor_p2p5,poisson_floor_p97p5,nb_floor_mean,champion_wape,cells,total_count
ceara,municipal_month,0.2,0.16902606069501497,0.13821138211382114,0.20107303007943533,0.3839476196969129,0.49931133936979377,104,1444.0
ceara,municipal_season,0.2,0.12460709820847046,0.09466951567497726,0.15729945341224122,0.3646961327600587,0.41561495395971265,52,1444.0
ceara,scope_month,0.2,0.041646204817409244,0.015470624140710189,0.07652100720259707,0.3495589933623104,0.22454775141125147,4,1444.0
ceara,scope_season,0.2,0.02948067293801881,0.0048712595685455815,0.06676281567126893,0.36938366388137106,0.17944589628327196,2,1444.0
chapada_cariri,municipal_month,0.25,0.2256432925446528,0.17142213642213644,0.2860417494251202,0.5344452302759674,0.5110194926430548,50,460.0
chapada_cariri,municipal_season,0.25,0.16826826413672974,0.11496561591360133,0.22907824074487765,0.5119308699647759,0.4083140987164388,25,460.0
chapada_cariri,scope_month,0.25,0.07334853514883707,0.02643171806167401,0.13513513513513514,0.5188811649696156,0.37226128240249645,4,460.0
chapada_cariri,scope_season,0.25,0.05231180907187667,0.008771929824561403,0.1170204459353944,0.5936796908601306,0.37226128240249634,2,460.0
